lane,time_min,count,flow_rate_veh_hr
Lane 1,0,159,1908.0
Lane 1,5,159,1908.0
Lane 1,10,161,1932.0
Lane 1,15,177,2124.0
Lane 1,20,183,2196.0
Lane 1,25,152,1824.0
Lane 1,30,166,1992.0
Lane 1,35,154,1848.0
Lane 1,40,149,1788.0
Lane 1,45,149,1788.0
Lane 1,50,138,1656.0
Lane 1,55,147,1764.0
Lane 1,60,42,504.0
Lane 2,0,27,324.0
Lane 2,5,17,204.0
Lane 2,10,15,180.0
Lane 2,15,14,168.0
Lane 2,20,20,240.0
Lane 2,25,26,312.0
Lane 2,30,22,264.0
Lane 2,35,36,432.0
Lane 2,40,20,240.0
Lane 2,45,26,312.0
Lane 2,50,30,360.0
Lane 2,55,23,276.0
Lane 2,60,7,84.0
