lane,vehicle_type,count,mean,std,min,q25,median,q75,max
Lane 1,Bus,293,46.12,30.75,3.59,22.08,38.23,62.94,150.36
Lane 1,Car,1303,45.76,26.82,2.05,26.44,43.47,61.81,174.47
Lane 1,Heavy Goods Vehicle,11,22.47,17.08,5.26,7.94,15.8,35.99,54.46
Lane 1,Light Goods Vehicle,595,39.97,28.59,2.19,14.58,37.76,55.72,182.22
Lane 1,Motorcycle,1010,50.36,31.16,2.06,23.6,43.53,75.69,152.43
Lane 1,Three-Wheeler,567,43.9,26.26,1.87,28.12,38.49,53.17,136.99
Lane 1,Van,353,34.75,26.03,3.0,13.48,29.1,48.92,118.08
Lane 2,Bus,153,28.99,22.08,1.82,13.21,24.9,41.63,137.2
Lane 2,Car,129,28.02,23.93,2.89,13.29,22.74,34.97,171.86
Lane 2,Heavy Goods Vehicle,9,32.23,48.39,4.99,6.45,8.74,19.89,143.52
Lane 2,Light Goods Vehicle,127,21.23,18.02,2.33,9.8,15.44,25.82,95.45
Lane 2,Motorcycle,284,22.63,16.58,1.94,16.04,20.92,25.04,133.45
Lane 2,Three-Wheeler,185,33.85,15.55,5.48,25.0,30.13,39.75,102.46
Lane 2,Van,87,20.89,20.62,2.77,8.13,11.71,27.38,90.66
