track_id,vehicle_type,lane,timestamp_sec,world_x,world_y,frame_no
2,Three-Wheeler,Lane 2,0.936,10.528,31.912,26
9,Car,Lane 2,3.887,9.222,32.449,108
8,Car,Lane 2,5.435,12.255,31.535,151
43,Three-Wheeler,Lane 2,9.358,11.809,31.385,260
61,Three-Wheeler,Lane 1,11.482,8.377,32.634,319
59,Three-Wheeler,Lane 2,12.849,10.379,32.195,357
68,Three-Wheeler,Lane 1,14.577,7.617,32.295,405
123,Motorcycle,Lane 1,23.683,-1.193,36.924,658
127,Motorcycle,Lane 1,23.827,-2.476,36.647,662
128,Bus,Lane 1,26.239,-7.234,37.431,729
138,Motorcycle,Lane 1,27.714,-0.918,36.578,770
144,Light Goods Vehicle,Lane 1,30.414,0.019,35.809,845
150,Light Goods Vehicle,Lane 1,30.774,0.02,35.534,855
154,Car,Lane 1,31.601,-0.956,36.305,878
162,Car,Lane 1,32.105,-1.083,36.055,892
167,Three-Wheeler,Lane 2,33.437,10.061,32.265,929
174,Three-Wheeler,Lane 1,35.489,7.411,32.591,986
191,Three-Wheeler,Lane 2,37.252,9.742,32.335,1035
192,Motorcycle,Lane 1,39.016,-2.836,36.728,1084
215,Motorcycle,Lane 1,41.967,1.461,35.486,1166
210,Motorcycle,Lane 1,42.039,1.325,35.243,1168
212,Three-Wheeler,Lane 1,43.155,8.737,32.052,1199
225,Car,Lane 1,58.128,1.152,35.282,1615
228,Motorcycle,Lane 1,58.452,-4.87,36.623,1624
227,Motorcycle,Lane 1,58.776,-5.215,36.98,1633
226,Three-Wheeler,Lane 2,58.884,10.636,31.64,1636
234,Motorcycle,Lane 1,61.619,-2.418,36.354,1712
236,Motorcycle,Lane 1,61.835,-3.278,37.397,1718
239,Motorcycle,Lane 1,62.123,-2.521,36.657,1726
241,Three-Wheeler,Lane 1,62.159,-3.162,36.243,1727
237,Three-Wheeler,Lane 2,66.514,9.622,32.361,1848
257,Motorcycle,Lane 1,72.669,-0.633,35.407,2019
261,Motorcycle,Lane 1,72.957,-1.341,35.837,2027
260,Motorcycle,Lane 1,73.209,1.319,34.974,2034
267,Motorcycle,Lane 1,74.721,-1.916,35.965,2076
265,Motorcycle,Lane 1,74.936,-0.901,35.739,2082
271,Three-Wheeler,Lane 2,88.47,9.377,32.163,2458
273,Light Goods Vehicle,Lane 2,88.506,9.457,32.145,2459
274,Car,Lane 1,92.177,-1.872,35.955,2561
292,Car,Lane 1,92.285,-2.082,35.728,2564
275,Motorcycle,Lane 1,92.645,-3.315,37.987,2574
293,Motorcycle,Lane 1,93.725,-2.507,36.374,2604
282,Motorcycle,Lane 1,94.013,-2.983,36.203,2612
300,Motorcycle,Lane 1,94.085,3.584,34.472,2614
298,Motorcycle,Lane 1,94.372,2.242,35.312,2622
297,Van,Lane 1,95.236,-0.676,35.417,2646
313,Car,Lane 1,99.087,-3.494,36.595,2753
308,Three-Wheeler,Lane 1,99.231,-3.072,36.223,2757
309,Car,Lane 1,99.591,0.108,35.243,2767
314,Car,Lane 1,99.663,0.151,35.233,2769
321,Car,Lane 1,105.026,7.284,32.873,2918
332,Motorcycle,Lane 1,105.206,2.093,34.803,2923
344,Three-Wheeler,Lane 2,110.173,10.488,31.92,3061
351,Motorcycle,Lane 1,114.996,-5.051,36.664,3195
354,Light Goods Vehicle,Lane 1,116.292,0.888,35.07,3231
352,Car,Lane 1,116.508,1.061,35.032,3237
357,Light Goods Vehicle,Lane 1,116.508,1.065,35.301,3237
381,Motorcycle,Lane 2,122.519,10.211,31.981,3404
