track_id,vehicle_type,lane,speed_kmh,speed_kmh_mean,num_positions,num_speed_samples
1,Bus,Lane 1,14.51,12.93,332,169
2,Car,Lane 1,53.09,53.92,104,100
3,Car,Lane 1,35.39,34.98,619,356
4,Car,Lane 1,96.67,61.6,178,72
6,Car,Lane 1,11.5,26.35,76,34
8,Car,Lane 2,31.92,36.36,256,223
9,Car,Lane 1,50.81,50.19,174,156
13,Motorcycle,Lane 1,31.95,34.51,32,31
22,Motorcycle,Lane 1,26.76,35.59,73,72
25,Motorcycle,Lane 2,20.58,23.94,36,35
31,Motorcycle,Lane 2,22.56,27.6,70,69
34,Bus,Lane 1,20.48,26.5,54,53
35,Car,Lane 2,21.93,25.65,89,88
36,Car,Lane 1,44.8,32.2,45,19
42,Motorcycle,Lane 1,26.33,29.5,44,42
43,Bus,Lane 2,31.1,35.52,160,149
49,Motorcycle,Lane 1,23.35,26.66,37,36
52,Car,Lane 1,9.7,50.09,46,22
54,Van,Lane 2,7.48,7.51,32,31
55,Car,Lane 1,6.61,26.16,62,40
59,Bus,Lane 2,27.8,31.97,196,190
61,Light Goods Vehicle,Lane 2,30.45,33.16,128,122
64,Bus,Lane 2,10.31,8.36,10438,4052
68,Three-Wheeler,Lane 1,37.44,42.04,198,189
72,Motorcycle,Lane 1,29.59,36.78,48,47
86,Light Goods Vehicle,Lane 2,21.14,23.04,38,37
88,Car,Lane 1,67.63,68.23,150,82
89,Three-Wheeler,Lane 1,59.35,42.87,45,23
90,Car,Lane 1,8.39,36.04,33,12
92,Bus,Lane 2,15.3,19.32,58,57
96,Motorcycle,Lane 1,24.38,27.57,67,65
97,Light Goods Vehicle,Lane 2,10.16,10.11,34,33
101,Bus,Lane 1,15.12,11.44,160,96
102,Car,Lane 1,117.64,70.3,52,15
112,Motorcycle,Lane 1,19.62,22.65,68,66
114,Motorcycle,Lane 1,18.22,22.41,55,54
123,Motorcycle,Lane 1,99.25,110.47,42,22
127,Motorcycle,Lane 1,109.69,110.76,47,25
128,Bus,Lane 1,25.78,39.25,355,294
138,Motorcycle,Lane 1,92.05,98.53,52,41
144,Car,Lane 1,77.13,81.67,115,107
150,Car,Lane 1,84.46,83.33,162,142
152,Car,Lane 1,41.2,42.64,35,34
154,Car,Lane 1,54.84,60.69,212,185
160,Light Goods Vehicle,Lane 1,66.47,61.46,173,134
162,Car,Lane 1,54.52,54.74,67,66
167,Three-Wheeler,Lane 1,30.01,34.76,204,183
174,Car,Lane 1,43.29,46.93,211,193
177,Motorcycle,Lane 2,31.23,34.72,52,50
178,Bus,Lane 1,89.12,65.03,68,46
191,Three-Wheeler,Lane 2,33.52,39.01,111,110
192,Motorcycle,Lane 1,62.48,68.24,77,76
198,Bus,Lane 1,17.39,21.41,52,51
202,Van,Lane 1,15.02,15.73,35,34
205,Motorcycle,Lane 2,26.33,33.12,38,37
210,Motorcycle,Lane 1,85.99,87.9,78,73
212,Car,Lane 1,59.7,58.26,157,151
215,Motorcycle,Lane 1,79.57,85.14,54,44
221,Light Goods Vehicle,Lane 1,14.36,15.39,33,32
224,Three-Wheeler,Lane 2,58.58,50.42,130,69
225,Van,Lane 1,59.87,58.79,196,168
226,Three-Wheeler,Lane 2,25.0,26.96,229,200
227,Motorcycle,Lane 1,42.34,44.6,87,86
228,Motorcycle,Lane 1,47.51,51.33,53,52
232,Motorcycle,Lane 1,6.21,5.97,32,31
234,Motorcycle,Lane 1,79.82,92.96,39,34
236,Motorcycle,Lane 1,80.16,88.37,54,44
237,Van,Lane 2,34.24,36.09,293,241
239,Motorcycle,Lane 1,73.16,88.12,57,53
241,Motorcycle,Lane 1,64.52,69.25,90,89
246,Light Goods Vehicle,Lane 2,9.02,9.36,33,32
248,Van,Lane 2,9.34,9.53,32,31
249,Light Goods Vehicle,Lane 2,11.8,12.54,36,35
251,Van,Lane 2,12.3,12.65,35,34
257,Motorcycle,Lane 1,81.07,92.69,47,36
260,Motorcycle,Lane 1,60.79,60.78,44,43
261,Motorcycle,Lane 1,98.28,105.79,39,34
265,Motorcycle,Lane 1,82.36,87.08,62,60
267,Motorcycle,Lane 1,90.52,94.04,59,42
271,Three-Wheeler,Lane 2,40.63,46.95,239,208
272,Car,Lane 1,69.3,62.26,33,21
273,Light Goods Vehicle,Lane 2,30.71,30.96,156,151
274,Car,Lane 1,45.3,49.47,240,205
275,Three-Wheeler,Lane 1,65.83,77.08,48,44
278,Motorcycle,Lane 1,14.31,14.4,31,30
282,Motorcycle,Lane 1,49.35,48.79,96,94
292,Car,Lane 1,45.76,44.89,92,90
